station,h,MAE,RMSE,window,epochs,seed,model
AnDinh_1996_2023,1,0.47766098380088806,0.6994959115982056,24,10,42,LSTM
AnDinh_1996_2023,3,0.4564950168132782,0.6998667120933533,24,10,42,LSTM
AnDinh_1996_2023,6,0.43046268820762634,0.6752455830574036,24,10,42,LSTM
AnDinh_1996_2023,24,0.689789891242981,1.0240706205368042,24,10,42,LSTM
MyTho_1998_2023,1,0.15954989194869995,0.2512827217578888,24,10,42,LSTM
MyTho_1998_2023,3,0.14483781158924103,0.2474776655435562,24,10,42,LSTM
MyTho_1998_2023,6,0.1438749134540558,0.25477272272109985,24,10,42,LSTM
MyTho_1998_2023,24,0.20836859941482544,0.32730555534362793,24,10,42,LSTM
TanAn_1995_2023,1,0.24519170820713043,0.4071175754070282,24,10,42,LSTM
TanAn_1995_2023,3,0.2651316821575165,0.4907852113246918,24,10,42,LSTM
TanAn_1995_2023,6,0.2826135754585266,0.5415886044502258,24,10,42,LSTM
TanAn_1995_2023,24,0.4408256411552429,0.8458755016326904,24,10,42,LSTM
